query_id	startHIMcontig	endHIMcontig
CtBV_S27-J1-OX465549.1	199	249
Hd27-J1-OY979743.1	543	605
Hd27-J2-OY979743.1	1	32
CtBV_S1-J1-OY982563.1	1	18
Hd27-J1-OZ008340.1	394	425
Hd27-J2-OZ008340.1	1	31
NC_006647.1_CcBV_Circle15-J1-DWCB01000532.1	173	200
NC_006647.1_CcBV_Circle15-J2-DWCB01000532.1	1	29
H12-J2-DWQB01043711.1	1	31
CtBV_S26-J2-DVYN010000087.1	1	18
NC_006642.1_CcBV_Circle10-J2-DWSS01067885.1	1	51
KF156246.1_DsIV_33-J1-DWGW01011811.1	733	761
H16-J2-DWGW01011811.1	1	36
KF156253.1_DsIV_40-J1-DVYC01020203.1	331	355
KF156228.1_DsIV_15-J1-DVYQ01027064.1	323	347
KF156246.1_DsIV_33-J1-DWLN01106023.1	259	286
Hd47-J2-NQII01000416.1	1	28
CtBV_S16-J1-DVYT01001659.1	408	429
NC_006636.1_CcBV_Circle4-J2-CAKOGL010000007.1	1	51
CtBV_S16-J1-CAKOGL010000007.1	390	409
KF156246.1_DsIV_33-J1-CAKOGL010000007.1	484	514
NC_006656.1_CcBV_Circle26-J1-CAKOGL010000021.1	1	27
NC_006646.1_CcBV_Circle14-J2-CAKOGL010000023.1	1	51
KF156228.1_DsIV_15-J1-CAKOGU010000117.1	344	426
NC_006644.1_CcBV_Circle12-J1-CANNQA010000014.1	256	267
AY875685.1_MdBV_H-J1-CATLKK010000021.1	401	429
CfBV_S1-J1-CM066611.1	329	375
NC_006646.1_CcBV_Circle14-J2-FR990009.1	1	42
CtBV_S1-J1-FR990051.1	367	395
Hd47-J1-FR990054.1	1879	1907
H12-J1-FR990056.1	676	703
NC_006644.1_CcBV_Circle12-J2-FR997697.1	1	27
NC_006633.1_CcBV_Circle1-J2-FR997707.1	1	50
CtBV_S12-J1-FR997807.1	463	499
CtBV_S27-J1-HG992184.1	178	224
KF156246.1_DsIV_33-J2-HG992189.1	1	16
KF156228.1_DsIV_15-J1-HG992236.1	308	337
Hd27-J1-JACTTY020000063.1	599	632
CtBV_S16-J1-JARPMQ010000021.1	526	553
NC_006644.1_CcBV_Circle12-J1-JARPMR010000017.1	521	548
Hd53-J2-JARWMC010000022.1	1	30
Hd53-J1-JARWMC010000022.1	212	242
NC_006642.1_CcBV_Circle10-J1-JAUPFN010000001.1	1084	1110
Hd27-J1-JAUPFZ010000002.1	527	565
CtBV_S27-J2-LR990040.1	1	113
KF156246.1_DsIV_33-J1-NJDC01000958.1	745	771
NC_006633.1_CcBV_Circle1-J1-NJDC01004936.1	1197	1228
NC_006642.1_CcBV_Circle10-J1-NJDD01001562.1	888	905
H16-J1-NJDD01003131.1	473	490
Hd13-J1-OU026116.1	134	190
KF156246.1_DsIV_33-J1-OU342882.1	1095	1123
H12-J2-OU342976.1	1	29
KF156246.1_DsIV_33-J2-OU426948.1	1	30
KF156228.1_DsIV_15-J1-OU426976.1	769	796
AY875685.1_MdBV_H-J1-OU452250.1	322	350
Hd47-J2-OU963915.1	1	23
H16-J1-OV281353.1	341	377
AY848690.1_MdBV_B-J1-OW028647.1	327	357
CtBV_S27-J1-OW052066.1	231	252
Hd27-J1-OW052080.1	790	821
NC_006636.1_CcBV_Circle4-J1-OW203667.1	2019	2046
Hd27-J1-OW203987.1	1288	1321
H12-J2-OW203991.1	1	35
Hd27-J1-OW204000.1	1300	1332
Hd47-J2-OW204005.1	1	29
H16-J1-DVTX01218681.1	283	289
CtBV_S16-J1-DVYC01094828.1	372	396
CtBV_S16-J2-DWJQ01000045.1	1	38
AF421353.1_TrIV_F1-J2-NKXL01308529.1	1	9
H16-J1-DWSS01000048.1	431	468
CtBV_S1-J1-DWPF01000217.1	768	796
CtBV_S16-J2-DWCB01001935.1	1	32
NC_006661.1_CcBV_Circle35-J2-DVYO010000006.1	1	24
Hd27-J1-DVYC01063766.1	767	771
H16-J2-PNEQ01121482.1	1	28
CtBV_S11-J1-DWSS01164597.1	265	303
CtBV_S1-J1-OW618041.2	494	519
H16-J1-OX276342.1	462	488
NC_006644.1_CcBV_Circle12-J1-OX297879.1	251	262
CtBV_S1-J1-OX336389.1	476	506
AY875684.1_MdBV_G-J1-OX388023.1	245	250
Hd27-J2-OX402562.1	1	24
Hd27-J1-OX402562.1	647	679
AY940454.1_TrIV_C1-J1-OX411742.1	250	282
KF156253.1_DsIV_40-J2-OX465245.1	1	29
KF156228.1_DsIV_15-J1-OX465260.1	1	33
NC_007036.1_MdBV_J-J2-OX465389.1	1	28
NC_007036.1_MdBV_J-J1-OX465391.1	1478	1481
CtBV_S12-J1-OX465551.1	487	505
CtBV_S16-J1-OX577862.1	387	411
Hd47-J2-DVZM01005961.1	1	16
KF156246.1_DsIV_33-J2-DVYQ01181079.1	1	21
Hd27-J2-DVYP01050096.1	1	4
CtBV_S11-J1-DVZK01029860.1	483	525
Hd27-J1-DWBA01066179.1	561	588
CtBV_S28-J2-CAKOGL010000015.1	1	39
NC_006639.1_CcBV_Circle7-J2-CAKOGL010000020.1	1	54
CtBV_S24-J2-CAKOGW010000021.1	1	52
KF156253.1_DsIV_40-J1-CATLKM010000282.1	352	376
CiBV_S11-J1-CATOQJ020000015.1	365	415
NC_006661.1_CcBV_Circle35-J2-LR990091.1	1	26
H16-J2-LR991027.1	1	29
CtBV_S28-J2-NJDD01004013.1	1	50
NC_006636.1_CcBV_Circle4-J1-NJDD01010057.1	598	632
KF156228.1_DsIV_15-J2-OU015655.1	1	21
Hd47-J1-OU342882.1	1832	1861
Hd47-J1-OU426954.1	1772	1802
NC_006642.1_CcBV_Circle10-J1-OU696489.1	857	881
CtBV_S27-J2-OU744299.1	1	49
KF156246.1_DsIV_33-J2-OU963894.1	1	30
CtBV_S1-J1-RPCZ01000189.1	284	306
H16-J2-RSAL01000008.1	1	36
KF156246.1_DsIV_33-J1-RSAL01000037.1	458	483
KF156228.1_DsIV_15-J2-RSAL01000148.1	1	20
KF156228.1_DsIV_15-J1-RSAL01002598.1	1116	1144
KF156246.1_DsIV_33-J2-DWKB01072451.1	1	27
NC_006633.1_CcBV_Circle1-J1-DWQU01183582.1	244	267
CtBV_S16-J1-DVYC01306939.1	397	424
CtBV_S10-J2-DVYD01000677.1	1	52
CtBV_S16-J1-DWKJ01024657.1	492	520
Hd27-J1-DVYD01079620.1	614	647
NC_006639.1_CcBV_Circle7-J2-DWMN01001486.1	1	51
CtBV_S28-J2-DWOP01025829.1	1	49
NC_006633.1_CcBV_Circle1-J1-DWCE01151538.1	229	252
KF156228.1_DsIV_15-J1-JALPQI010006371.1	733	766
CtBV_S12-J1-DWRW01068793.1	253	260
KF156228.1_DsIV_15-J2-DVZK01108798.1	1	83
Hd27-J1-DWPO01163882.1	275	311
NC_006639.1_CcBV_Circle7-J2-DVYU01016054.1	1	51
KF156228.1_DsIV_15-J1-DWKV01002816.1	190	220
CtBV_S16-J1-DVZE010074196.1	338	366
H12-J2-DWNN01019511.1	1	27
H12-J2-NKXL01153422.1	1	29
NC_006646.1_CcBV_Circle14-J1-DVZK01034438.1	239	267
NC_006642.1_CcBV_Circle10-J1-DVZT01206785.1	270	285
Hd47-J2-DWFC01023314.1	1	28
Hd27-J2-NKXL01016539.1	1	5
CtBV_S18-J2-DWAB01123325.1	1	50
H12-J2-DVYU01002517.1	1	29
CtBV_S1-J1-DWCB01005612.1	1152	1178
Hd27-J2-DVYO010034058.1	1	32
Hd27-J1-DVRM01015418.1	229	261
CtBV_S27-J2-DVZK01010071.1	1	78
H12-J1-DVYC01001360.1	2118	2146
CtBV_S18-J2-DWQP01000408.1	1	50
Hd27-J1-JAYDZJ010048324.1	435	469
NC_006656.1_CcBV_Circle26-J2-DVYA01000063.1	1	43
Hd27-J1-DVYS01055062.1	269	271
Hd27-J2-DWKV01000997.1	1	42
Hd27-J1-DWCB01018207.1	967	995
CtBV_S24-J2-DWSS01000520.1	1	146
CtBV_S26-J1-CAJNIV010000002.1	1	54
H12-J1-CAJOBZ010000010.1	1709	1745
H16-J2-CAJOBZ010000010.1	1	32
CtBV_S17-J2-CAJQFG010000022.1	1	53
NC_006656.1_CcBV_Circle26-J2-CAJQZN010031028.1	1	55
Hd27-J1-CAJQZN010033426.1	1298	1333
