OU342972.1:6584468-6584847	OU342972.1:6584468-6584847
JAUPFN010000012.1:2266816-2267385	JAUPFO010000056.1:79679-80200
JAUPFN010000012.1:2266816-2267385	JAUPFN010000034.1:10530-11051
JAUPFN010000012.1:2266816-2267385	JAUPFN010000037.1:1581886-1582406
JAUPFN010000012.1:2266816-2267385	JAUPFN010000037.1:1593193-1593713
JAUPFN010000012.1:2266816-2267385	JAUPFO010000034.1:185321-185839
JAUPFN010000012.1:2266816-2267385	JAUPFO010000035.1:954467-954986
JAUPFN010000012.1:2266816-2267385	JAUPFO010000032.1:147253-147723
JAUPFN010000012.1:5995796-5996259	JAUPFN010000012.1:5995796-5996259
JAUPFN010000012.1:16656814-16657434	JAUPFN010000012.1:16656814-16657434
JAUPFN010000012.1:16656814-16657434	JAUPFN010000003.1:32128671-32128869
JAUPFN010000012.1:16656814-16657434	JAUPFN010000004.1:33406094-33406293
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:35560214-35560803
JAUPFN010000012.1:16656814-16657434	JAUPFN010000010.1:41890959-41891155
JAUPFN010000012.1:16656814-16657434	JAUPFN010000014.1:4078762-4078960
JAUPFN010000012.1:16656814-16657434	JAUPFN010000024.1:11441289-11441496
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:22716537-22716735
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:31959248-31959446
JAUPFN010000012.1:16656814-16657434	JAUPFO010000008.1:30125542-30125740
JAUPFN010000012.1:16656814-16657434	JAUPFO010000009.1:3825180-3825376
JAUPFN010000012.1:16656814-16657434	JAUPFO010000011.1:23842146-23842350
JAUPFN010000012.1:16656814-16657434	JAUPFO010000018.1:5260093-5260292
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:5948732-5948931
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:9272865-9273064
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:12682150-12682348
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:31611186-31611385
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:25423915-25424113
JAUPFN010000012.1:16656814-16657434	JAUPFN010000012.1:16441793-16441997
JAUPFN010000012.1:16656814-16657434	JAUPFN010000019.1:17631860-17632060
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:16410568-16410766
JAUPFN010000012.1:16656814-16657434	JAUPFN010000029.1:1270067-1270265
JAUPFN010000012.1:16656814-16657434	JAUPFN010000029.1:1289392-1289591
JAUPFN010000012.1:16656814-16657434	JAUPFN010000037.1:877883-878090
JAUPFN010000012.1:16656814-16657434	JAUPFO010000002.1:2742025-2742224
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:34254965-34255161
JAUPFN010000012.1:16656814-16657434	JAUPFO010000018.1:8748341-8748540
JAUPFN010000012.1:16656814-16657434	JAUPFO010000036.1:457447-457654
JAUPFN010000012.1:16656814-16657434	JAUPFN010000001.1:46728057-46728263
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:13006987-13007592
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:27118331-27118542
JAUPFN010000012.1:16656814-16657434	JAUPFO010000021.1:18289888-18290094
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:9885736-9886346
JAUPFN010000012.1:16656814-16657434	JAUPFN010000007.1:3542560-3542768
JAUPFN010000012.1:16656814-16657434	JAUPFO010000027.1:8527402-8527610
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:25970651-25970859
JAUPFN010000012.1:16656814-16657434	JAUPFN010000019.1:2169877-2170085
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:21057101-21057309
JAUPFN010000012.1:16656814-16657434	JAUPFN010000011.1:838803-839010
JAUPFN010000012.1:16656814-16657434	JAUPFN010000013.1:2905837-2906044
JAUPFN010000012.1:16656814-16657434	JAUPFN010000013.1:11027295-11027550
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:47102450-47102655
JAUPFN010000012.1:16656814-16657434	JAUPFN010000006.1:34607124-34607330
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:12474302-12474507
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:12569774-12569993
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:14551133-14551338
JAUPFN010000012.1:16656814-16657434	JAUPFN010000015.1:9643905-9644111
JAUPFN010000012.1:16656814-16657434	JAUPFN010000018.1:22382589-22382794
JAUPFN010000012.1:16656814-16657434	JAUPFN010000024.1:15185468-15185674
JAUPFN010000012.1:16656814-16657434	JAUPFN010000025.1:13005937-13006143
JAUPFN010000012.1:16656814-16657434	JAUPFN010000025.1:24857003-24857209
JAUPFN010000012.1:16656814-16657434	JAUPFN010000027.1:2565538-2565749
JAUPFN010000012.1:16656814-16657434	JAUPFO010000003.1:40074448-40074653
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:30445436-30445641
JAUPFN010000012.1:16656814-16657434	JAUPFO010000008.1:2800814-2801019
JAUPFN010000012.1:16656814-16657434	JAUPFO010000012.1:32666972-32667177
JAUPFN010000012.1:16656814-16657434	JAUPFO010000012.1:35608263-35608468
JAUPFN010000012.1:16656814-16657434	JAUPFO010000015.1:35706752-35706957
JAUPFN010000012.1:16656814-16657434	JAUPFO010000015.1:36567561-36567768
JAUPFN010000012.1:16656814-16657434	JAUPFO010000021.1:13279031-13279236
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:6863789-6864001
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:8022863-8023073
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:9305482-9305701
JAUPFN010000012.1:16656814-16657434	JAUPFO010000025.1:16794368-16794574
JAUPFN010000012.1:16656814-16657434	JAUPFO010000027.1:16973011-16973217
JAUPFN010000012.1:16656814-16657434	JAUPFO010000028.1:2524189-2524394
JAUPFN010000012.1:16656814-16657434	JAUPFO010000030.1:3366565-3366771
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:12686684-12686889
JAUPFN010000012.1:16656814-16657434	JAUPFN010000014.1:901149-901356
JAUPFN010000012.1:16656814-16657434	JAUPFN010000014.1:36635018-36635224
JAUPFN010000012.1:16656814-16657434	JAUPFN010000021.1:14949266-14949472
JAUPFN010000012.1:16656814-16657434	JAUPFN010000021.1:14998128-14998334
JAUPFN010000012.1:16656814-16657434	JAUPFN010000022.1:14832893-14833098
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:7457021-7457225
JAUPFN010000012.1:16656814-16657434	JAUPFN010000024.1:17125001-17125211
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:2283762-2283968
JAUPFN010000012.1:16656814-16657434	JAUPFO010000005.1:9517892-9518097
JAUPFN010000012.1:16656814-16657434	JAUPFO010000005.1:25002197-25002403
JAUPFN010000012.1:16656814-16657434	JAUPFO010000013.1:6285153-6285358
JAUPFN010000012.1:16656814-16657434	JAUPFO010000014.1:5925582-5925795
JAUPFN010000012.1:16656814-16657434	JAUPFO010000015.1:17928128-17928334
JAUPFN010000012.1:16656814-16657434	JAUPFO010000016.1:18555791-18555996
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:14251268-14251473
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:27593903-27594110
JAUPFN010000012.1:16656814-16657434	JAUPFO010000023.1:1257184-1257394
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:680925-681131
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:7897227-7897434
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:9887719-9887925
JAUPFN010000012.1:16656814-16657434	JAUPFO010000030.1:6412902-6413108
JAUPFN010000012.1:16656814-16657434	JAUPFN010000013.1:24915609-24915816
JAUPFN010000012.1:16656814-16657434	JAUPFN010000015.1:30699410-30699615
JAUPFN010000012.1:16656814-16657434	JAUPFN010000017.1:13217559-13218167
JAUPFN010000012.1:16656814-16657434	JAUPFN010000018.1:29897510-29898122
JAUPFN010000012.1:16656814-16657434	JAUPFN010000021.1:18435887-18436482
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:8937394-8938004
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:28322170-28322377
JAUPFN010000012.1:16656814-16657434	JAUPFN010000024.1:4995040-4995650
JAUPFN010000012.1:16656814-16657434	JAUPFN010000036.1:1840404-1840611
JAUPFN010000012.1:16656814-16657434	JAUPFO010000041.1:612167-612374
JAUPFN010000012.1:16656814-16657434	JAUPFO010000034.1:796281-796488
JAUPFN010000012.1:16656814-16657434	JAUPFO010000035.1:1539077-1539284
JAUPFN010000012.1:16656814-16657434	JAUPFN010000024.1:17238029-17238237
JAUPFN010000012.1:16656814-16657434	JAUPFO010000002.1:41090658-41090864
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:31907439-31907644
JAUPFN010000012.1:16656814-16657434	JAUPFO010000003.1:7696694-7696903
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:6545773-6545979
JAUPFN010000012.1:16656814-16657434	JAUPFO010000009.1:28173158-28173768
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:13112489-13113098
JAUPFN010000012.1:16656814-16657434	JAUPFO010000010.1:18051141-18051361
JAUPFN010000012.1:16656814-16657434	JAUPFO010000011.1:8442413-8442620
JAUPFN010000012.1:16656814-16657434	JAUPFO010000014.1:28758463-28759072
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:32614324-32614521
JAUPFN010000012.1:16656814-16657434	JAUPFN010000012.1:6903416-6903610
JAUPFN010000012.1:16656814-16657434	JAUPFN010000017.1:25874378-25874571
JAUPFN010000012.1:16656814-16657434	JAUPFN010000019.1:2676936-2677130
JAUPFN010000012.1:16656814-16657434	JAUPFO010000005.1:28311748-28311946
JAUPFN010000012.1:16656814-16657434	JAUPFO010000010.1:982552-982749
JAUPFN010000012.1:16656814-16657434	JAUPFO010000018.1:8563508-8563707
JAUPFN010000012.1:16656814-16657434	JAUPFN010000006.1:18898128-18898326
JAUPFN010000012.1:16656814-16657434	JAUPFN010000006.1:18942479-18942677
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:15189854-15190059
JAUPFN010000012.1:16656814-16657434	JAUPFN010000012.1:16925139-16925359
JAUPFN010000012.1:16656814-16657434	JAUPFN010000030.1:5782633-5782831
JAUPFN010000012.1:16656814-16657434	JAUPFO010000010.1:20267417-20267716
JAUPFN010000012.1:16656814-16657434	JAUPFO010000015.1:34870350-34870560
JAUPFN010000012.1:16656814-16657434	JAUPFO010000019.1:29829701-29829907
JAUPFN010000012.1:16656814-16657434	JAUPFO010000030.1:1181880-1182094
JAUPFN010000012.1:16656814-16657434	JAUPFN010000025.1:3206884-3207089
JAUPFN010000012.1:16656814-16657434	JAUPFN010000032.1:4764614-4764819
JAUPFN010000012.1:16656814-16657434	JAUPFO010000018.1:8818616-8818820
JAUPFN010000012.1:16656814-16657434	JAUPFO010000022.1:3331406-3331611
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:1038366-1038571
JAUPFN010000012.1:16656814-16657434	JAUPFN010000006.1:26199456-26199660
JAUPFN010000012.1:16656814-16657434	JAUPFO010000011.1:23354526-23354730
JAUPFN010000012.1:16656814-16657434	JAUPFO010000014.1:2540913-2541118
JAUPFN010000012.1:16656814-16657434	JAUPFN010000006.1:46835593-46836198
JAUPFN010000012.1:16656814-16657434	JAUPFN010000007.1:39355427-39355634
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:9189001-9189206
JAUPFN010000012.1:16656814-16657434	JAUPFN010000010.1:7701076-7701690
JAUPFN010000012.1:16656814-16657434	JAUPFN010000007.1:38135289-38135899
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:12827210-12827820
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:12717046-12717656
JAUPFN010000012.1:16656814-16657434	JAUPFO010000009.1:23172452-23173061
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:7799034-7799644
JAUPFN010000012.1:16656814-16657434	JAUPFO010000021.1:24746778-24747388
JAUPFN010000012.1:16656814-16657434	JAUPFN010000012.1:2764549-2764708
JAUPFN010000012.1:16656814-16657434	JAUPFN010000012.1:31742346-31742555
JAUPFN010000012.1:16656814-16657434	JAUPFN010000013.1:3406631-3407239
JAUPFN010000012.1:16656814-16657434	JAUPFO010000039.1:295478-296085
JAUPFN010000012.1:16656814-16657434	JAUPFO010000033.1:1758136-1758743
JAUPFN010000012.1:16656814-16657434	JAUPFO010000037.1:388484-389091
JAUPFN010000012.1:16656814-16657434	JAUPFN010000016.1:6717926-6718133
JAUPFN010000012.1:16656814-16657434	JAUPFN010000017.1:24999980-25000502
JAUPFN010000012.1:16656814-16657434	JAUPFN010000017.1:33463983-33464594
JAUPFN010000012.1:16656814-16657434	JAUPFN010000033.1:793248-793458
JAUPFN010000012.1:16656814-16657434	JAUPFN010000045.1:635727-635937
JAUPFN010000012.1:16656814-16657434	JAUPFN010000019.1:20341640-20341861
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:38791278-38791483
JAUPFN010000012.1:16656814-16657434	JAUPFN010000004.1:39966811-39967017
JAUPFN010000012.1:16656814-16657434	JAUPFN010000010.1:7656097-7656308
JAUPFN010000012.1:16656814-16657434	JAUPFN010000013.1:16249480-16249686
JAUPFN010000012.1:16656814-16657434	JAUPFN010000022.1:7762495-7762701
JAUPFN010000012.1:16656814-16657434	JAUPFN010000026.1:10558750-10558959
JAUPFN010000012.1:16656814-16657434	JAUPFN010000026.1:10580581-10580787
JAUPFN010000012.1:16656814-16657434	JAUPFN010000034.1:1525791-1526000
JAUPFN010000012.1:16656814-16657434	JAUPFN010000036.1:718932-719145
JAUPFN010000012.1:16656814-16657434	JAUPFN010000036.1:741276-741489
JAUPFN010000012.1:16656814-16657434	JAUPFN010000036.1:763548-763761
JAUPFN010000012.1:16656814-16657434	JAUPFN010000042.1:880548-880761
JAUPFN010000012.1:16656814-16657434	JAUPFN010000042.1:902786-902999
JAUPFN010000012.1:16656814-16657434	JAUPFN010000042.1:923398-923611
JAUPFN010000012.1:16656814-16657434	JAUPFN010000042.1:969138-969351
JAUPFN010000012.1:16656814-16657434	JAUPFN010000045.1:156130-156336
JAUPFN010000012.1:16656814-16657434	JAUPFN010000058.1:79135-79341
JAUPFN010000012.1:16656814-16657434	JAUPFN010000070.1:20723-20929
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:37870683-37870888
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:38043221-38043426
JAUPFN010000012.1:16656814-16657434	JAUPFO010000002.1:9845772-9845978
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:7683858-7684063
JAUPFN010000012.1:16656814-16657434	JAUPFO010000005.1:33377466-33377672
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:2174809-2175015
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:33720118-33720307
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:6596036-6596242
JAUPFN010000012.1:16656814-16657434	JAUPFO010000008.1:30357532-30357737
JAUPFN010000012.1:16656814-16657434	JAUPFO010000010.1:3578952-3579157
JAUPFN010000012.1:16656814-16657434	JAUPFO010000011.1:24836024-24836230
JAUPFN010000012.1:16656814-16657434	JAUPFO010000016.1:23958147-23958352
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:1257168-1257373
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:7752794-7753000
JAUPFN010000012.1:16656814-16657434	JAUPFO010000019.1:13615239-13615450
JAUPFN010000012.1:16656814-16657434	JAUPFO010000022.1:17575011-17575217
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:9266061-9266266
JAUPFN010000012.1:16656814-16657434	JAUPFO010000025.1:10278272-10278481
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:31464114-31464319
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:40295060-40295265
JAUPFN010000012.1:16656814-16657434	JAUPFN010000006.1:13788174-13788380
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:1835690-1835895
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:31510394-31510601
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:38207408-38207615
JAUPFN010000012.1:16656814-16657434	JAUPFN010000010.1:23543672-23543884
JAUPFN010000012.1:16656814-16657434	JAUPFN010000011.1:38942259-38942450
JAUPFN010000012.1:16656814-16657434	JAUPFN010000017.1:30619750-30619956
JAUPFN010000012.1:16656814-16657434	JAUPFN010000018.1:35641311-35641516
JAUPFN010000012.1:16656814-16657434	JAUPFN010000033.1:370520-370726
JAUPFN010000012.1:16656814-16657434	JAUPFN010000045.1:221135-221341
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:8867031-8867236
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:11821096-11821301
JAUPFN010000012.1:16656814-16657434	JAUPFO010000008.1:29080829-29081036
JAUPFN010000012.1:16656814-16657434	JAUPFO010000008.1:35562040-35562247
JAUPFN010000012.1:16656814-16657434	JAUPFO010000009.1:35432097-35432307
JAUPFN010000012.1:16656814-16657434	JAUPFO010000010.1:10719495-10719701
JAUPFN010000012.1:16656814-16657434	JAUPFO010000010.1:38738089-38738280
JAUPFN010000012.1:16656814-16657434	JAUPFO010000016.1:9725944-9726149
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:848183-848390
JAUPFN010000012.1:16656814-16657434	JAUPFO010000021.1:21960870-21961077
JAUPFN010000012.1:16656814-16657434	JAUPFO010000025.1:20448173-20448379
JAUPFN010000012.1:16656814-16657434	JAUPFO010000031.1:1633333-1633546
JAUPFN010000012.1:16656814-16657434	JAUPFO010000031.1:1655541-1655754
JAUPFN010000012.1:16656814-16657434	JAUPFN010000022.1:1763678-1763884
JAUPFN010000012.1:16656814-16657434	JAUPFO010000020.1:9218005-9218210
JAUPFN010000012.1:16656814-16657434	JAUPFN010000022.1:2613856-2614060
JAUPFN010000012.1:16656814-16657434	JAUPFN010000022.1:7105237-7105445
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:7445672-7445873
JAUPFN010000012.1:16656814-16657434	JAUPFN010000023.1:9941846-9942052
JAUPFN010000012.1:16656814-16657434	JAUPFN010000024.1:15780156-15780377
JAUPFN010000012.1:16656814-16657434	JAUPFN010000029.1:10359129-10359539
JAUPFN010000012.1:16656814-16657434	JAUPFN010000035.1:1560322-1560930
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:26077281-26077485
JAUPFN010000012.1:16656814-16657434	JAUPFN010000010.1:40908727-40908932
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:12803810-12804002
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:34798876-34799080
JAUPFN010000012.1:16656814-16657434	JAUPFN010000044.1:589121-589729
JAUPFN010000012.1:16656814-16657434	JAUPFN010000037.1:787811-788020
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:16278978-16279183
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:18122099-18122303
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:869311-869511
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:14884978-14885184
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:24045632-24045822
JAUPFN010000012.1:16656814-16657434	JAUPFO010000012.1:13733986-13734193
JAUPFN010000012.1:16656814-16657434	JAUPFO010000015.1:2743246-2743479
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:6927008-6927621
JAUPFN010000012.1:16656814-16657434	JAUPFO010000017.1:8206100-8206304
JAUPFN010000012.1:16656814-16657434	JAUPFO010000021.1:10975928-10976536
JAUPFN010000012.1:16656814-16657434	JAUPFO010000024.1:7919547-7919755
JAUPFN010000012.1:16656814-16657434	JAUPFO010000025.1:18623870-18624077
JAUPFN010000012.1:16656814-16657434	JAUPFO010000036.1:367480-367688
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:43515096-43515338
JAUPFN010000012.1:16656814-16657434	JAUPFN010000001.1:49252179-49252386
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:25492755-25492963
JAUPFN010000012.1:16656814-16657434	JAUPFN010000008.1:32488899-32489105
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:26659151-26659359
JAUPFN010000012.1:16656814-16657434	JAUPFN010000019.1:25251290-25251497
JAUPFN010000012.1:16656814-16657434	JAUPFN010000026.1:4003077-4003284
JAUPFN010000012.1:16656814-16657434	JAUPFN010000045.1:567980-568186
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:33595418-33595628
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:16296317-16296525
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:19201832-19202038
JAUPFN010000012.1:16656814-16657434	JAUPFO010000005.1:4963623-4963829
JAUPFN010000012.1:16656814-16657434	JAUPFO010000005.1:30017720-30017927
JAUPFN010000012.1:16656814-16657434	JAUPFO010000006.1:36804691-36804903
JAUPFN010000012.1:16656814-16657434	JAUPFO010000008.1:29999211-29999417
JAUPFN010000012.1:16656814-16657434	JAUPFO010000015.1:1945090-1945297
JAUPFN010000012.1:16656814-16657434	JAUPFO010000016.1:20652252-20652471
JAUPFN010000012.1:16656814-16657434	JAUPFO010000020.1:24469534-24469740
JAUPFN010000012.1:16656814-16657434	JAUPFO010000029.1:5971513-5971720
JAUPFN010000012.1:16656814-16657434	JAUPFN010000002.1:48258427-48258637
JAUPFN010000012.1:16656814-16657434	JAUPFN010000005.1:31733697-31733905
JAUPFN010000012.1:16656814-16657434	JAUPFN010000007.1:27455790-27456000
JAUPFN010000012.1:16656814-16657434	JAUPFN010000009.1:37975386-37975593
JAUPFN010000012.1:16656814-16657434	JAUPFN010000010.1:2389959-2390166
JAUPFN010000012.1:16656814-16657434	JAUPFN010000020.1:10593711-10593922
JAUPFN010000012.1:16656814-16657434	JAUPFO010000001.1:33782265-33782472
JAUPFN010000012.1:16656814-16657434	JAUPFO010000004.1:22649721-22649929
JAUPFN010000012.1:16656814-16657434	JAUPFO010000007.1:14340856-14341063
JAUPFN010000012.1:16656814-16657434	JAUPFO010000018.1:8675791-8675998
JAUPFN010000012.1:16656814-16657434	JAUPFO010000019.1:9920979-9921190
JAUPFN010000012.1:16656814-16657434	JAUPFO010000021.1:24754610-24754816
JAUPFN010000012.1:16656814-16657434	JAUPFO010000028.1:12618093-12618299
JAUPFN010000012.1:16656814-16657434	JAUPFN010000019.1:18472253-18472450
JAUPFN010000013.1:39316406-39317017	JAUPFN010000013.1:39316406-39317017
JAUPFN010000014.1:6451687-6451888	JAUPFN010000014.1:6451687-6451888
JAUPFN010000015.1:11833138-11833323	JAUPFN010000015.1:11833138-11833323
JAUPFN010000015.1:11833138-11833323	JAUPFO010000004.1:16276127-16276278
JAUPFN010000015.1:11833138-11833323	JAUPFN010000019.1:20834655-20834840
JAUPFN010000015.1:11833138-11833323	JAUPFO010000024.1:8035868-8036053
JAUPFN010000015.1:11833138-11833323	JAUPFN010000008.1:7705704-7705887
JAUPFO010000013.1:28502242-28504387	JAUPFO010000013.1:28502242-28504387
JAUPFO010000013.1:28502242-28504387	JAUPFO010000001.1:33245894-33248034
JAUPFO010000013.1:28502242-28504387	JAUPFN010000017.1:9044682-9046802
JAUPFO010000013.1:28502242-28504387	JAUPFN010000018.1:4700730-4702872
JAUPFO010000013.1:28502242-28504387	JAUPFO010000016.1:9002611-9004728
JAUPFO010000015.1:19628404-19629031	JAUPFO010000015.1:19628404-19629031
JAUPFO010000018.1:3225841-3226291	JAUPFO010000018.1:3225841-3226291
JAUPFO010000020.1:9201955-9202394	JAUPFO010000020.1:9201955-9202394
JAUPFO010000020.1:9201955-9202394	JAUPFN010000003.1:6128446-6128876
