LR990046.1:17392347-17392724	LR990046.1:17392347-17392724
OU342982.1:4651950-4652469	OW203999.1:6832996-6833495
OU342982.1:4651950-4652469	OW204005.1:10697860-10698106
OU342982.1:4651950-4652469	OW203983.1:30391736-30391982
OU342982.1:4651950-4652469	OW203984.1:2503161-2503660
OU342982.1:4651950-4652469	OW203984.1:14402419-14402665
OU342982.1:4651950-4652469	OW203989.1:5800283-5800529
OU342982.1:4651950-4652469	OW203994.1:1310687-1310901
OU342982.1:4651950-4652469	OW203994.1:7418938-7419152
OU342982.1:4651950-4652469	OW203996.1:11217715-11218214
OU342982.1:4651950-4652469	OW204006.1:10399018-10399264
OU342982.1:4651950-4652469	OW204007.1:14654439-14654685
OU342982.1:4651950-4652469	OW204008.1:1682667-1683166
OU342982.1:4651950-4652469	OW204010.1:14193746-14194245
OU342982.1:4651950-4652469	OU342960.1:31298836-31299337
OU342982.1:4651950-4652469	OU342961.1:3728840-3729339
OU342982.1:4651950-4652469	OU342965.1:1837521-1838022
OU342982.1:4651950-4652469	OU342965.1:31204633-31205133
OU342982.1:4651950-4652469	OU342969.1:1074583-1075082
OU342982.1:4651950-4652469	OU342969.1:15125672-15126149
OU342982.1:4651950-4652469	OU342972.1:12359975-12360475
OU342982.1:4651950-4652469	OU342974.1:1218596-1219095
OU342982.1:4651950-4652469	OU342981.1:9391357-9391853
OU342982.1:4651950-4652469	OU342983.1:11677398-11677900
OU342982.1:4651950-4652469	OU342983.1:18806270-18806772
OU342982.1:4651950-4652469	OU342985.1:9080977-9081477
OU342982.1:4651950-4652469	OU342985.1:9275743-9276243
OU342982.1:4651950-4652469	OW203986.1:4678427-4678926
OU342982.1:4651950-4652469	OW203987.1:25432283-25432784
OU342982.1:4651950-4652469	OW203990.1:7976187-7976433
OU342982.1:4651950-4652469	OW203990.1:12341760-12341964
OU342982.1:4651950-4652469	OW203995.1:8287000-8287246
OU342982.1:4651950-4652469	OW204000.1:3450852-3451351
OU342982.1:4651950-4652469	OW204005.1:8854958-8855458
OU342982.1:4651950-4652469	OW204005.1:14970507-14970753
OU342982.1:4651950-4652469	OW203984.1:2504895-2505141
OU342982.1:4651950-4652469	OW203996.1:11219923-11220169
OU342982.1:4651950-4652469	OW204006.1:2446851-2447349
OU342982.1:4651950-4652469	OU342960.1:52118504-52118999
OU342982.1:4651950-4652469	OU342984.1:5998530-5999028
OU342982.1:4651950-4652469	OW203987.1:28270081-28270579
OU342982.1:4651950-4652469	OU342965.1:6540957-6541460
OU342982.1:4651950-4652469	OW203986.1:4676915-4677161
OU342982.1:4651950-4652469	OW203987.1:24184930-24185144
OU342982.1:4651950-4652469	OW203990.1:15633644-15633890
OU342982.1:4651950-4652469	OW203995.1:8285798-8286012
OU342982.1:4651950-4652469	OW203995.1:11647975-11648221
OU342982.1:4651950-4652469	OW204002.1:13966833-13967047
OU342982.1:4651950-4652469	OW204005.1:3924321-3924535
OU342982.1:4651950-4652469	OW204011.1:10892745-10892959
OU342982.1:4651950-4652469	OW203986.1:24841804-24842018
OU342982.1:4651950-4652469	OW203990.1:15634884-15635098
OU342982.1:4651950-4652469	OW204001.1:7560462-7560708
OU342982.1:4651950-4652469	OW204001.1:8285888-8286134
OU342982.1:4651950-4652469	OW204005.1:3925523-3925769
OU342982.1:4651950-4652469	OW204011.1:10893953-10894199
OU342982.1:4651950-4652469	OU342972.1:6582109-6582611
OU342982.1:4651950-4652469	OW204009.1:3340195-3340408
OU342982.1:4651950-4652469	OW203986.1:3344736-3344966
OU342982.1:4651950-4652469	OW204010.1:14195489-14195736
OU342982.1:4651950-4652469	OU342961.1:30282795-30283290
OU342982.1:4651950-4652469	OU753566.1:6716832-6717323
OU342982.1:4651950-4652469	OW203998.1:570304-570795
OU342982.1:4651950-4652469	OW203998.1:7407568-7408008
OU342982.1:4651950-4652469	OW203987.1:6248350-6248841
OU342982.1:4651950-4652469	OU342964.1:15657282-15657769
OU342983.1:11164243-11168416	OU342983.1:11164243-11168416
OU342983.1:11164243-11168416	OU342973.1:26883143-26886309
OU342983.1:11164243-11168416	OU342977.1:25633318-25637407
OU342983.1:11164243-11168416	OU426947.1:14308069-14312104
OU342983.1:11674834-11675188	OU342983.1:11674834-11675188
OU342983.1:11674834-11675188	OU342965.1:31202072-31202420
OU342983.1:11674834-11675188	OU342966.1:14506438-14506786
OU342983.1:11674834-11675188	OU342984.1:5995974-5996321
OU342983.1:11674834-11675188	OU342961.1:33199978-33200326
OU342983.1:11674834-11675188	OU342962.1:1735028-1735376
OU342983.1:11674834-11675188	OU342969.1:6221223-6221570
OU342983.1:11674834-11675188	OU342983.1:3769337-3769686
OU342983.1:11674834-11675188	OU342988.1:8831972-8832319
OU342983.1:11674834-11675188	OU342961.1:3726282-3726631
OU342983.1:11674834-11675188	OU342961.1:7724216-7724560
OU342983.1:11674834-11675188	OU342972.1:12357525-12357877
OU342983.1:11674834-11675188	OU342982.1:21090072-21090419
OU342983.1:12821904-12823864	OU342983.1:12821904-12823864
OU342984.1:2205363-2207378	OU342984.1:2205363-2207378
OU342984.1:2205363-2207378	OU342985.1:4417320-4419334
OU342984.1:2205363-2207378	OU342988.1:15452581-15454050
OU342984.1:2205363-2207378	OU342985.1:2588459-2590470
OU342984.1:2205363-2207378	OU342961.1:5242772-5244765
OU342984.1:2205363-2207378	OU342972.1:21249003-21251008
OU342984.1:2205363-2207378	OU342973.1:23969518-23971500
APLT01035669.1:5541-5818	APLT01035669.1:5541-5818
CAJOBZ010000062.1:4927175-4927398	CAJOBZ010000062.1:4927175-4927398
CAJQZM010022034.1:3270-3493	CAJQZM010022034.1:3270-3493
CAJQZM010022034.1:3270-3493	CAJQZQ010029936.1:2811-3034
CAJQZM010022034.1:3270-3493	CAXVHA010000010.1:11042642-11042865
CAJQZM010022034.1:3270-3493	CAXVHA010000034.1:4062862-4063085
CAJQZN010028494.1:2551-2941	CAJQZN010028494.1:2551-2941
CAJQZN010038948.1:6372-6905	CAJQZN010038948.1:6372-6905
CAKASE010000055.1:3955566-3955846	CAKASE010000055.1:3955566-3955846
CAKASE010000055.1:3955566-3955846	CAKASE010000056.1:482813-483013
CAKASE010000055.1:3965690-3965961	CAKASE010000055.1:3965690-3965961
CAKOGW010000018.1:21324-22109	CAKOGW010000018.1:21324-22109
CAMSLN010000471.1:58770-59098	CAMSLN010000471.1:58770-59098
CAMYPE010000097.1:158860-159033	CAMYPE010000097.1:158860-159033
CATOZV010000699.1:2000117-2000351	CATOZV010000699.1:2000117-2000351
CAUJSG010000059.1:984558-984930	CAUJSG010000059.1:984558-984930
CAUJSG010000059.1:984558-984930	CAUJSG010000544.1:217658-218029
CAUJSG010001576.1:53636-53990	CAUJSG010001576.1:53636-53990
CAUJSG010001576.1:53636-53990	CAXVYZ010000038.1:27719545-27719766
CAUJSG010001576.1:53636-53990	OZ182996.1:27641444-27641665
CAXLBV010000007.1:22936271-22936536	CAXLBV010000007.1:22936271-22936536
CAXMYC010000824.1:189069-189249	CAXMYC010000824.1:189069-189249
CAXVHD010000002.1:7246370-7246795	CAXVHD010000002.1:7246370-7246795
CAXVHK010000010.1:14216176-14216582	CAXVHK010000010.1:14216176-14216582
CAXVHK010000010.1:14216176-14216582	OZ177529.1:14178953-14179359
CAXVHK010000010.1:14216176-14216582	CAXVYZ010000080.1:39102263-39102418
CAXVHK010000010.1:14216176-14216582	OZ183000.1:5426014-5426169
CAXVHK010000010.1:14216176-14216582	CAXVYZ010000050.1:3919279-3919444
CAXVHK010000049.1:24813037-24813324	CAXVHK010000049.1:24813037-24813324
CAXVHK010000049.1:24813037-24813324	OZ177525.1:24722520-24722807
CAXVHK010000065.1:4278112-4279255	CAXVHK010000065.1:4278112-4279255
CAXVHK010000065.1:4278112-4279255	OZ177523.1:3960630-3960932
CAXVHK010000065.1:4278112-4279255	OZ177523.1:4282017-4283160
CAXVQE010000021.1:2984492-2984636	CAXVQE010000021.1:2984492-2984636
CAXVQE010000021.1:2984492-2984636	OZ179984.1:3042014-3042158
CAXVXJ010000004.1:29365153-29367756	CAXVXJ010000004.1:29365153-29367756
CAXVXJ010000004.1:29365153-29367756	CAXWAB010000018.1:20614394-20615092
CAXVXJ010000010.1:25841277-25841581	CAXVXJ010000010.1:25841277-25841581
CAXVXJ010000010.1:25841277-25841581	OZ182078.1:4057736-4058040
CAXVYZ010000001.1:44177253-44177650	CAXVYZ010000001.1:44177253-44177650
CAXVYZ010000001.1:44177253-44177650	OZ182998.1:44221751-44222148
CAXVYZ010000038.1:27717447-27717855	CAXVYZ010000038.1:27717447-27717855
CAXVYZ010000038.1:27717447-27717855	OZ182996.1:27639346-27639754
CAXVYZ010000038.1:27717447-27717855	CAXVYZ010000090.1:17867958-17868161
CAXVYZ010000038.1:27717447-27717855	OZ183007.1:18138344-18138547
CAXVYZ010000038.1:27717447-27717855	LR994555.1:4977501-4977907
CAXVYZ010000038.1:27717447-27717855	LR994559.1:13230710-13231105
CAXVYZ010000038.1:27717447-27717855	CAXVHK010000089.1:7972945-7973205
CAXVYZ010000038.1:27717447-27717855	OZ177527.1:8067307-8067567
CAXVYZ010000038.1:27717447-27717855	LR994558.1:6089401-6089799
CAXVYZ010000044.1:8637171-8637395	CAXVYZ010000044.1:8637171-8637395
CAXVYZ010000050.1:10570022-10570347	CAXVYZ010000050.1:10570022-10570347
CAXVYZ010000050.1:10570022-10570347	OZ183011.1:10691195-10691520
CAXVYZ010000065.1:30583623-30583957	CAXVYZ010000065.1:30583623-30583957
CAXVYZ010000069.1:3252286-3252581	CAXVYZ010000069.1:3252286-3252581
CAXVYZ010000069.1:3252286-3252581	CAXVYZ010000081.1:111356-111651
CAXVYZ010000090.1:17866327-17866668	CAXVYZ010000090.1:17866327-17866668
CAXVYZ010000090.1:17866327-17866668	OZ183007.1:18136713-18137054
CAXVZB010000062.1:17470934-17471152	CAXVZB010000062.1:17470934-17471152
CAXVZB010000062.1:17470934-17471152	OZ182917.1:1860735-1860947
CAXVZF010000007.1:8263135-8263317	CAXVZF010000007.1:8263135-8263317
CP049648.1:7570202-7570505	CP049648.1:7570202-7570505
CP149082.1:17204631-17205126	CP149082.1:17204631-17205126
DVSG01008119.1:2299-2597	DVSG01008119.1:2299-2597
DVSG01008119.1:2299-2597	DVTC01000121.1:8237-8533
DVSG01008119.1:2299-2597	DVXA01017703.1:1608-1904
DVUJ01009361.1:87-528	DVUJ01009361.1:87-528
DVUJ01009361.1:87-528	DWRR01000826.1:987-1428
DVUR01000027.1:1794-2090	DVUR01000027.1:1794-2090
DVUR01000027.1:1794-2090	DVVI01000004.1:4031-4256
DVUR01000027.1:1794-2090	DVVJ01000048.1:6055-6280
DVUR01000027.1:1794-2090	DWRR01001461.1:1419-1644
DVUR01000027.1:1794-2090	JAWQUS010000008.1:3634601-3634823
DVUR01000027.1:1794-2090	JAWQUS010000008.1:3641748-3641970
DVUR01000027.1:1794-2090	JAWQUS010000020.1:3674382-3674604
DVXO01011525.1:1159-1746	DVXO01011525.1:1159-1746
DVXO01011525.1:1159-1746	DVXB01010272.1:2-485
DVXO01011525.1:1159-1746	DWDP01013668.1:3750-4330
DVXO01011525.1:1159-1746	DVXP01014913.1:5691-6006
DVXO01011525.1:1159-1746	DWSQ01129817.1:383-683
DVXO01011525.1:1159-1746	DVXQ01074189.1:255-570
DVYC01030443.1:761-2387	DVYC01030443.1:761-2387
DVYO010000277.1:1760-2005	DVYO010000277.1:1760-2005
DVYS01104765.1:426-671	DVYS01104765.1:426-671
DVYU01002517.1:1439-1692	DVYU01002517.1:1439-1692
DVZM01000151.1:3561-4686	DVZM01000151.1:3561-4686
DVZM01017888.1:1157-1557	DVZM01017888.1:1157-1557
DWBA01006264.1:3103-4766	DWBA01006264.1:3103-4766
DWBA01006264.1:3103-4766	JAUPFN010000031.1:5663426-5665081
DWBA01006264.1:3103-4766	JAUPFO010000030.1:10355803-10357260
DWCB01043002.1:1267-1470	DWCB01043002.1:1267-1470
DWCD01005775.1:2166-2527	DWCD01005775.1:2166-2527
DWKU01000117.1:1624-1917	DWKU01000117.1:1624-1917
DWKW01000821.1:9002-9418	DWKW01000821.1:9002-9418
DWKW01000821.1:9002-9418	JBFSLV010000028.1:2277539-2277952
DWKW01000821.1:9002-9418	JBFSLV010000028.1:2323507-2323918
DWKW01000821.1:10382-10821	DWKW01000821.1:10382-10821
DWPF01000217.1:1045-1841	DWPF01000217.1:1045-1841
DWPF01000217.1:1045-1841	FR989994.1:15977848-15978141
DWPF01000217.1:1045-1841	DWOZ01095133.1:185-421
CAXVYZ010000050.1:4926859-4927263	CAXVYZ010000050.1:4926859-4927263
CAXVYZ010000050.1:4926859-4927263	OZ183011.1:5000030-5000434
CAXVYZ010000092.1:15467824-15467994	CAXVYZ010000092.1:15467824-15467994
CAXVYZ010000092.1:15467824-15467994	OZ183002.1:15983352-15983522
CM079454.1:171356662-171356914	CM079454.1:171356662-171356914
DVWM01015675.1:2030-2273	DVWM01015675.1:2030-2273
DVYC01099224.1:2-219	DVYC01099224.1:2-219
DVYP01106565.1:1163-1399	DVYP01106565.1:1163-1399
DVYU01000863.1:4623-5292	DVYU01000863.1:4623-5292
DVZE010074196.1:71-436	DVZE010074196.1:71-436
DVZK01030931.1:3122-3323	DVZK01030931.1:3122-3323
DWBA01001433.1:8733-9315	DWBA01001433.1:8733-9315
DWCE01011859.1:1080-1295	DWCE01011859.1:1080-1295
DWCE01011859.1:1080-1295	JAPEIZ010393919.1:1080-1295
DWFC01012249.1:156-320	DWFC01012249.1:156-320
DWIE01007076.1:3330-3549	DWIE01007076.1:3330-3549
DWIY01018137.1:689-2713	DWIY01018137.1:689-2713
DWIY01018137.1:689-2713	DWPF01000564.1:3806-3973
DWIY01018137.1:689-2713	JAUPGA010000021.1:1389421-1389633
DWIY01018137.1:689-2713	CM066622.1:12403523-12403848
DWKL01003541.1:6974-7148	DWKL01003541.1:6974-7148
DWKV01002816.1:559-803	DWKV01002816.1:559-803
DWMP01015928.1:2-953	DWMP01015928.1:2-953
DWMZ01023539.1:1405-1947	DWMZ01023539.1:1405-1947
DWMZ01023539.1:1405-1947	DWMZ01072301.1:1409-1942
DWQP01000185.1:4-911	DWQP01000185.1:4-911
DWTH01000095.1:5096-6279	DWTH01000095.1:5096-6279
FR989951.1:8596536-8596826	FR989951.1:8596536-8596826
FR990051.1:18482363-18482756	FR990051.1:18482363-18482756
FR997698.1:8830887-8831177	FR997698.1:8830887-8831177
HG992220.1:12400590-12400965	HG992220.1:12400590-12400965
HG992236.1:4902776-4903118	HG992236.1:4902776-4903118
HG993159.1:1154781-1155314	HG993159.1:1154781-1155314
JADAKG010000199.1:1457095-1459864	JADAKG010000199.1:1457095-1459864
JADAKG010000199.1:1457095-1459864	JADAKG010000039.1:4830050-4831685
JADAKG010000199.1:1457095-1459864	JADAKG010000047.1:9753974-9755612
JADANM010002527.1:1608302-1608612	JADANM010002527.1:1608302-1608612
JAIPRO010000188.1:3586114-3586355	JAIPRO010000188.1:3586114-3586355
JAIPRO010000188.1:3586114-3586355	LR824548.2:6364964-6365203
JAIPRO010000188.1:3586114-3586355	JALJOW010000829.1:132009-132245
JARWMB010000025.1:4115860-4116062	JARWMB010000025.1:4115860-4116062
JARWMB010000025.1:4115860-4116062	JARWMC010000022.1:4028095-4028297
JASMSR010000005.1:18099278-18099778	JASMSR010000005.1:18099278-18099778
JAUPFN010000011.1:26155224-26155541	JAUPFN010000011.1:26155224-26155541
JAUPFN010000012.1:22382901-22383559	JAUPFN010000012.1:22382901-22383559
JAUPFN010000017.1:33475843-33476081	JAUPFN010000017.1:33475843-33476081
JAUPFN010000017.1:33475843-33476081	JAUPFO010000014.1:28754229-28754458
JAUPFN010000017.1:33475843-33476081	JAUPFN010000018.1:15882438-15882673
JAUPFN010000017.1:33475843-33476081	JAUPFO010000009.1:4477250-4477484
JAUPFN010000017.1:33475843-33476081	JAUPFO010000039.1:291225-291458
JAUPFN010000017.1:33475843-33476081	JAUPFN010000005.1:10976945-10977179
JAUPFN010000017.1:33475843-33476081	JAUPFN010000012.1:16663064-16663297
JAUPFN010000017.1:33475843-33476081	JAUPFO010000011.1:23594139-23594374
JAUPFN010000017.1:33475843-33476081	JAUPFO010000021.1:10981211-10981442
JAUPFN010000020.1:17067399-17067706	JAUPFN010000020.1:17067399-17067706
JAUPFN010000025.1:19832388-19833574	JAUPFN010000025.1:19832388-19833574
JAUPFN010000025.1:19832388-19833574	JAUPFO010000022.1:20104521-20105707
JAUPFN010000028.1:11005008-11005495	JAUPFN010000028.1:11005008-11005495
JAUPFN010000028.1:11005008-11005495	JAUPFN010000003.1:14470455-14470941
JAUPFN010000028.1:11005008-11005495	JAUPFN010000017.1:20417749-20418235
JAUPFN010000028.1:11005008-11005495	JAUPFO010000013.1:37887996-37888482
JAUPFN010000028.1:11005008-11005495	JAUPFO010000006.1:8655448-8655930
JAUPFN010000028.1:11005008-11005495	JAUPFN010000010.1:12145062-12145543
JAUPFN010000028.1:11005008-11005495	JAUPFN010000011.1:30155209-30155690
JAUPFN010000028.1:11005008-11005495	JAUPFN010000012.1:16713987-16714468
JAUPFN010000028.1:11005008-11005495	JAUPFN010000019.1:18198920-18199401
JAUPFN010000028.1:11005008-11005495	JAUPFO010000001.1:12640385-12640866
JAUPFN010000028.1:11005008-11005495	JAUPFO010000009.1:13775976-13776457
JAUPFN010000028.1:11005008-11005495	JAUPFO010000017.1:18838066-18838547
JAUPFN010000028.1:11005008-11005495	JAUPFO010000030.1:7611019-7611500
JAUPFN010000028.1:11005008-11005495	JAUPFN010000005.1:10380204-10380685
JAUPFN010000028.1:11005008-11005495	JAUPFN010000015.1:32828028-32828509
JAUPFN010000028.1:11005008-11005495	JAUPFN010000018.1:17667785-17668252
JAUPFN010000028.1:11005008-11005495	JAUPFO010000024.1:9355084-9355564
JAUPFN010000028.1:11005008-11005495	JAUPFN010000024.1:15725988-15726468
JAUPFN010000028.1:11005008-11005495	JAUPFN010000001.1:16536930-16537365
JAUPFN010000028.1:11005008-11005495	JAUPFN010000019.1:27297904-27298388
JAUPFN010000030.1:14028474-14029010	JAUPFN010000030.1:14028474-14029010
JAUPFN010000030.1:14028474-14029010	JAUPFO010000028.1:14228113-14228646
JAUPFN010000031.1:5082495-5082764	JAUPFN010000031.1:5082495-5082764
JAUPFN010000031.1:5667447-5668047	JAUPFN010000031.1:5667447-5668047
JAUPFO010000002.1:22749652-22749842	JAUPFO010000002.1:22749652-22749842
JAUPFO010000002.1:44256598-44257482	JAUPFO010000002.1:44256598-44257482
JAUPFO010000002.1:44556990-44557402	JAUPFO010000002.1:44556990-44557402
JAUPFO010000015.1:19629900-19630297	JAUPFO010000015.1:19629900-19630297
JAUPFO010000022.1:17526767-17526996	JAUPFO010000022.1:17526767-17526996
JAUPFO010000022.1:17526767-17526996	DVYO010000663.1:2680-2907
JAUPFO010000022.1:17526767-17526996	DVYE01067264.1:158-340
JAUPFO010000022.1:17526767-17526996	DWBA01013778.1:1839-2065
JAUPFO010000030.1:10868600-10869047	JAUPFO010000030.1:10868600-10869047
JAUPFO010000030.1:10893542-10894287	JAUPFO010000030.1:10893542-10894287
JAUPFO010000030.1:10893542-10894287	JAUPFO010000030.1:10905431-10906176
JAUPFZ010000008.1:9673285-9673628	JAUPFZ010000008.1:9673285-9673628
JAUPFZ010000008.1:9673285-9673628	JAUPGA010000007.1:9628923-9629265
JAUPFZ010000018.1:10481001-10481315	JAUPFZ010000018.1:10481001-10481315
JAUPFZ010000018.1:10481001-10481315	JAUPFZ010000018.1:15275108-15275421
JAUPFZ010000018.1:10481001-10481315	JAUPGA010000016.1:10471211-10471525
JAUPFZ010000018.1:10481001-10481315	JAUPGA010000016.1:15075652-15075965
JAUPFZ010000018.1:10863154-10863965	JAUPFZ010000018.1:10863154-10863965
JAUPGA010000005.1:5559540-5560068	JAUPGA010000005.1:5559540-5560068
JAUPGA010000012.1:11278891-11279228	JAUPGA010000012.1:11278891-11279228
JAUPGA010000016.1:704002-705305	JAUPGA010000016.1:704002-705305
JAUPGA010000016.1:10578740-10579152	JAUPGA010000016.1:10578740-10579152
OU342964.1:6300064-6300415	OU342964.1:6300064-6300415
OU342965.1:23351024-23352932	OU342965.1:23351024-23352932
OU342968.1:25951221-25951796	OU342968.1:25951221-25951796
OU342985.1:2883083-2883466	OU342985.1:2883083-2883466
OU342985.1:2883083-2883466	CAMPPK010000040.1:733380-733582
OU342985.1:2883083-2883466	OU342961.1:3434784-3434975
OU342985.1:2883083-2883466	OU342961.1:9665670-9665871
OU342985.1:2883083-2883466	OU342963.1:5803849-5804050
OU342985.1:2883083-2883466	OU342963.1:27493216-27493418
OU342985.1:2883083-2883466	OU342963.1:30073226-30073427
OU342985.1:2883083-2883466	OU342964.1:9753758-9753948
OU342985.1:2883083-2883466	OU342968.1:11494694-11494885
OU342985.1:2883083-2883466	OU342968.1:23982761-23982951
OU342985.1:2883083-2883466	OU342969.1:7941574-7941726
OU342985.1:2883083-2883466	OU342969.1:25837555-25837756
OU342985.1:2883083-2883466	OU342969.1:27919414-27919615
OU342985.1:2883083-2883466	OU342972.1:3663801-3664005
OU342985.1:2883083-2883466	OU342972.1:5513070-5513271
OU342985.1:2883083-2883466	OU342977.1:25686020-25686221
OU342985.1:2883083-2883466	OU342979.1:7089862-7090064
OU342985.1:2883083-2883466	OU342979.1:22965020-22965222
OU342985.1:2883083-2883466	OU342981.1:9563693-9563896
OU342985.1:2883083-2883466	OU342985.1:2880619-2880795
OU342985.1:2883083-2883466	OU342985.1:18790252-18790450
OU342985.1:2883083-2883466	OU342988.1:13394913-13395122
OU342985.1:2883083-2883466	OU975433.1:1215186-1215367
OU342985.1:2883083-2883466	OU975446.1:4419534-4419726
OU342985.1:2883083-2883466	OW443294.2:30758003-30758206
OU342985.1:2883083-2883466	OU342961.1:3442640-3442841
OU342985.1:2883083-2883466	OU342961.1:9668156-9668346
OU342985.1:2883083-2883466	OU342963.1:5313900-5314282
OU342985.1:2883083-2883466	OU342963.1:5807160-5807362
OU342985.1:2883083-2883466	OU342963.1:27209598-27209788
OU342985.1:2883083-2883466	OU342963.1:27495703-27495893
OU342985.1:2883083-2883466	OU342963.1:30076497-30076699
OU342985.1:2883083-2883466	OU342964.1:9757589-9757790
OU342985.1:2883083-2883466	OU342968.1:11498205-11498407
OU342985.1:2883083-2883466	OU342968.1:23988907-23989109
OU342985.1:2883083-2883466	OU342969.1:7946266-7946469
OU342985.1:2883083-2883466	OU342969.1:25840041-25840232
OU342985.1:2883083-2883466	OU342969.1:27922725-27922926
OU342985.1:2883083-2883466	OU342971.1:4870518-4870709
OU342985.1:2883083-2883466	OU342971.1:13829424-13829626
OU342985.1:2883083-2883466	OU342977.1:25690734-25690924
OU342985.1:2883083-2883466	OU342978.1:4961962-4962138
OU342985.1:2883083-2883466	OU342979.1:7095319-7095511
OU342985.1:2883083-2883466	OU342981.1:9785704-9785902
OU342985.1:2883083-2883466	OU342983.1:1219271-1219473
OU342985.1:2883083-2883466	OV656846.1:16926620-16926821
OU342985.1:2883083-2883466	OW028681.1:11834588-11834790
OU342985.1:2883083-2883466	OW028689.1:17974966-17975168
OU342985.1:2883083-2883466	OW028690.1:18462344-18462543
OU342985.1:2883083-2883466	OW443294.2:30759914-30760115
OU342985.1:2883083-2883466	OX344817.1:5133196-5133397
OU342985.1:2883083-2883466	CP137785.1:5106826-5107027
OU342985.1:2883083-2883466	OU342986.1:3608212-3608391
OU426947.1:27007696-27008025	OU426947.1:27007696-27008025
OU426976.1:3408487-3409200	OU426976.1:3408487-3409200
OU744299.1:19825481-19825738	OU744299.1:19825481-19825738
