CM063640.1:327177166-327179102	CM063640.1:327177166-327179102
CM038779.1:25447389-25447888	CM038786.1:28187640-28188133
CM038779.1:25447389-25447888	CM037741.1:27491293-27491765
CM038779.1:25447389-25447888	SSWZ01000153.1:425475-425947_
CM038779.1:25447389-25447888	CM037734.1:25720272-25720744_
CM038779.1:25447389-25447888	OX101797.1:6886215-6886712__(reversed)
CM038779.1:25447389-25447888	CM063641.1:40791482-40791667__(reversed)
CM038779.1:25447389-25447888	CM063642.1:98199339-98199834_
CM038779.1:25447389-25447888	CM037739.1:12972670-12973162
CM038779.1:25447389-25447888	CM038780.1:36245713-36246141__(reversed)
CM038779.1:25447389-25447888	LGIB01001779.1:9634-10106
CM038779.1:25447389-25447888	CM037734.1:20349659-20350131__(reversed)
CM038779.1:25447389-25447888	CM038786.1:22236202-22236674__(reversed)
CM038779.1:25447389-25447888	CM038779.1:21354513-21354985_
CM038779.1:25447389-25447888	SSWZ01000661.1:5566-6037__(reversed)
CM038779.1:25447389-25447888	CM037741.1:21629573-21630044__(reversed)
CM038779.1:25447389-25447888	CM037724.1:21443511-21443996_
CM037721.1:10472963-10473433__(reversed)	CM037721.1:10472963-10473433__(reversed)
CM037721.1:10472963-10473433__(reversed)	CM038786.1:10865645-10865983__(reversed)
CM037721.1:10472963-10473433__(reversed)	CM009917.1:9431025-9431363__(reversed)
CM037721.1:10472963-10473433__(reversed)	CM038779.1:10567467-10567776_
CM037721.1:10472963-10473433__(reversed)	CM037741.1:10643960-10644294__(reversed)
CM037721.1:10472963-10473433__(reversed)	SSWZ01000363.1:208861-209195__(reversed)
CM063647.1:8619008-8619457	CM063647.1:8619008-8619457
CM009920.1:18732775-18733559	CM009920.1:18732775-18733559
CM009920.1:18732775-18733559	CM038789.1:28249911-28250522
CM037737.1:27144941-27145509	CM037737.1:27144941-27145509
CM037737.1:27144941-27145509	CM037736.1:8076505-8076788
CM037737.1:27144941-27145509	CM038783.1:12427351-12427824
CM037737.1:27144941-27145509	CM038788.1:8477775-8478082
CM037737.1:27144941-27145509	CM009919.1:4597557-4597868__(reversed)
CM037737.1:27144941-27145509	CM009919.1:4611722-4612034__(reversed)
CM037737.1:27144941-27145509	CM009919.1:4617035-4617383_
CM037737.1:27144941-27145509	CM038781.1:7943203-7943514__(reversed)
CM037737.1:27144941-27145509	SSWZ01000338.1:24073-24329_
CM037737.1:27144941-27145509	CM037738.1:12477224-12477697
CM037737.1:27144941-27145509	CM038790.1:12434802-12435275
CM037737.1:27144941-27145509	SSWZ01000376.1:68474-68763__(reversed)
CM037737.1:27144941-27145509	CM037745.1:12274260-12274549_
CM037737.1:27144941-27145509	SSWZ01000338.1:19194-19659__(reversed)
CM037737.1:27144941-27145509	CM037743.1:4020179-4020638
CM037734.1:10493776-10494216	CM037734.1:10493776-10494216
CM037734.1:10493776-10494216	CM038779.1:10483439-10483879
CM037734.1:10493776-10494216	SSWZ01000038.1:856865-857305__(reversed)
OZ125708.1:15374092-15374573	OZ125708.1:15374092-15374573
Hd27	Hd27
JASMSR010000005.1:41913663-41914153	JASMSR010000005.1:41913663-41914153
CM063640.1:134760161-134760626_	CM063640.1:134760161-134760626_
CM063648.1:22435001-22435469__(reversed)	CM063648.1:22435001-22435469__(reversed)
CM079453.1:203308948-203309425_	CM079453.1:203308948-203309425_
CM079463.1:49285570-49286086_	CM079463.1:49285570-49286086_
CM079463.1:49285570-49286086_	NQII01004470.1:64083-64479
CM079463.1:49285570-49286086_	CM079454.1:97711204-97711713
CM063641.1:51301258-51301779_	CM063641.1:51301258-51301779_
CM063649.1:42145365-42145858_	CM063649.1:42145365-42145858_
CM063647.1:11281347-11281858__(reversed)	CM063647.1:11281347-11281858__(reversed)
CM063640.1:22980762-22981248__(reversed)	CM063640.1:22980762-22981248__(reversed)
CM063645.1:26920651-26921538__(reversed)	CM063645.1:26920651-26921538__(reversed)
CM063642.1:86635987-86636451_	CM063642.1:86635987-86636451_
CM063640.1:123189214-123189388__(reversed)	CM063640.1:123189214-123189388__(reversed)
NKXL01016539.1:18368-18588_	NKXL01016539.1:18368-18588_
NKXL01016539.1:18368-18588_	CM056994.1:289157297-289157517_
CM079466.1:2426198-2426483_	CM079466.1:2426198-2426483_
CM079466.1:2426198-2426483_	NQII01004105.1:21044-21270__(reversed)
JASMSR010000005.1:15113462-15113664_	JASMSR010000005.1:15113462-15113664_
CM063653.1:1530401-1530974__(reversed)	CM063653.1:1530401-1530974__(reversed)
CM063642.1:129279143-129279343__(reversed)	CM063642.1:129279143-129279343__(reversed)
CM079452.1:290948590-290948792_	CM079452.1:290948590-290948792_
CM063643.1:21015196-21015805__(reversed)	CM063643.1:21015196-21015805__(reversed)
CM063643.1:9584099-9584325__(reversed)	CM063643.1:9584099-9584325__(reversed)
CM037721.1:10427355-10427672__(reversed)	CM037721.1:10427355-10427672__(reversed)
JASMSR010000005.1:18099278-18099778_	JASMSR010000005.1:18099278-18099778_
CM063654.1:4896827-4897294_	CM063654.1:4896827-4897294_
CM063642.1:71833786-71834251_	CM063642.1:71833786-71834251_
CM063640.1:118608977-118609806__(reversed)	CM063640.1:118608977-118609806__(reversed)
CM063640.1:21838452-21840600__(reversed)	CM063640.1:21838452-21840600__(reversed)
CM063640.1:124067908-124068381_	CM063640.1:124067908-124068381_
CM063643.1:2159598-2160073_	CM063643.1:2159598-2160073_
CM079454.1:171356662-171356914_	CM079454.1:171356662-171356914_
CM079453.1:163907741-163908356_	CM079453.1:163907741-163908356_
